BusinessID,BusinessName,Category,City,Email,Website,YearsInBusiness,Rating,NumEmployees,SignupDate,Newsletter,Notes
B001,Bright Leaf Salon,Salon,Denver,contact@brightleaf.com,https://www.brightleaf.com,13,4.4,6,2023-09-04,No,
B002,Blue Oak Consulting,Consulting,Austin,contact@@blueoak.com,https://www.blueoak.com,17,3.6,7,2023-07-14,Yes,
B003,Sunset Retail,Retail,Austin,contact@sunset.com,www.sunset.com,18,4.0,38,2023-02-08,Yes,
B004,Golden Fork Consulting,resturant,Raleigh,contact@goldenfork.com,https://www.goldenfork.com,13,3.3,16,2023-01-18,Yes,
B005,Maple Salon,Salon,Nashville,contact@maple.com,https://www.maple.com,,4.2,38,2023-05-18,Yes,
B006,Cedar Point Restaurant,Restaurant,Raleigh,mike smith@cedarpoint.com,https://www.cedarpoint.com,19,4.4,25,2023-02-18,Yes,
B007,Silver Line Consulting,Consulting,Austin,contact@silverline.com,https://www.silverline.com,20,,36,2023-07-25,No,
B008,Riverbend Fitness,Fitness,Raleigh,contact@riverbend.com,https://www.riverbend.com,15,3.9,17,2023-03-23,yes,
B009,Iron Gate Restaurant,Restaurant,Raleigh,contact@irongate.com,HTTPS://WWW.IRONGATE.COM,10,4.1,23,2023-12-15,No,
B010,Clover Consulting,RETAIL,Austin,contact@clover.com,https://www.clover.com,4,4.1,12,2023-06-05,No,
B011,Northside Fitness,Fitness,Austin,contact@northside.com,https://www.northside.com,3,4.6,38,2023-06-11,No,
B012,Harbor Consulting,Consulting,Nashville,contact@bizsite,https://www.harbor.com,19,4.6,6,2023-02-09,No,
B013,Willow Restaurant,Restaurant,Austin,contact@willow.com,https://www.willow.com,10,4.4,,2023-05-23,No,
B014,Copper Hill Salon,Salon,Austin,contact@copperhill.com,https://www.copperhill.com,15,3.8,9,2023-08-02,Yes,
B015,Bramble Salon,Salon,Denver,contact@bramble.com,bramble.com/,8,3.9,33,2023-02-06,No,
B016,Fern & Co Fitness,salon ,Raleigh,contact@fernandco.com,https://www.fernandco.com,9,4.8,29,2023-09-09,No,
B017,Amber Salon,Salon,Boise,contact@amber.com,https://www.amber.com,13,4.9,11,2023-02-06,Yes,
B018,Pine Grove Retail,Retail,Boise,sara.k@,https://www.pinegrove.com,8,3.2,39,2023-03-09,No,
B019,Stonewell Restaurant,Restaurant,Denver,contact@stonewell.com,https://www.stonewell.com,five,4.2,38,2023-06-05,Yes,
B020,Lantern Fitness,Fitness,Boise,contact@lantern.com,https://www.lantern.com,18,3.9,27,2023-07-04,1,
B021,Foxglove Fitness,Fitness,Austin,contact@foxglove.com,None,7,3.3,15,2023-08-06,Yes,
B022,Granite Salon,Salon,Raleigh,contact@granite.com,https://www.granite.com,2,3.4,38,2023-03-18,Yes,
B023,Meadow Salon,Fitness Studio,Raleigh,contact@meadow.com,https://www.meadow.com,1,3.3,15,2023-10-13,Yes,
B024,Cobblestone Salon,Salon,Portland,contact@cobblestone.com,https://www.cobblestone.com,20,3.9,9,2023-02-28,No,
B025,Driftwood Fitness,Fitness,Nashville,CONTACT@DRIFTWOOD.COM,https://www.driftwood.com,16,3.8,11,2023-02-24,No,
B026,Larkspur Salon,Salon,Nashville,contact@larkspur.com,https://www.larkspur.com,6,4.1,15,2023-09-12,Yes,
B027,Cascade Consulting,Consulting,Austin,contact@cascade.com,https://www.cascade.com,17,3.7,7,2023-12-28,No ,
B028,Thistle Consulting,Consulting,Portland,contact@thistle.com,https://www.thistle..com,6,3.8,16,2023-09-18,No,
B029,Anchor Retail,Retail,Raleigh,contact@anchor.com,https://www.anchor.com,7,4.7,27,2023-12-26,Yes,
B030,Birchwood Retail,consulting,Raleigh,contact@birchwood.com,https://www.birchwood.com,16,3.8,3,2023-01-26,No,
B031,Hollow Fitness,Fitness,Portland,contact@hollow.com,https://www.hollow.com,7,4.4,24,2023-08-26,No,
B032,Ember Salon,Salon,Austin,,https://www.ember.com,8,3.4,32,2023-04-11,Yes,
B033,Crestline Fitness,Fitness,Raleigh,contact@crestline.com,https://www.crestline.com,20,4.7,32,2023-11-12,N,
B034,Windmere Restaurant,Restaurant,Nashville,contact@windmere.com,https://www.windmere.com,7,4.1,13,2023-07-26,No,
B999,Northside Fitness ,Fitness,Austin,contact@northside.com,https://www.sable.com,13,4.0,7,2023-12-06,Yes,
