CampaignID,CampaignName,Channel,Country,StartDate,EndDate,Impressions,Clicks,CTR,Spend,Revenue,ROI,LandingPageURL,Device,Status,Notes
CMP3001,Fall Sale Blitz,email,France,2023-09-01,2023-09-06,11310,444,3.93%,1283.19,1904.77,0.48,https://example.com/fall-sale,mobile,PAUSED,
CMP3002,Back to School,Social,Spain,2023-09-02T08:00:00+00:00,2023-09-07T08:00:00+00:00,12531,568,4.53%,746.37,381.49,-0.49,https://shop.example.com/promo,Desktop,Paused,
CMP3003,Q3 Retargeting,Email,Spain,2023-09-03T08:00:00-08:00,2023-09-08T08:00:00-08:00,49738,1306,2.63%,736.45,477.35,-0.35,htp://example.com/typo,Tablet,active,
CMP3004,New Customer Push,Email,Australia,2023-09-04T08:00:00+01:00,2023-09-09T08:00:00+01:00,0,0,#DIV/0!,1643.44,4813.15,1.93,https://example.com/vip,Desktop,Paused,No impressions recorded
CMP3005,Holiday Teaser,social,Germany,2023-09-05T08:00:00+09:00,2023-09-10T08:00:00+09:00,49063,3298,6.72%,418.39,1568.04,2.75,https://example.com/fall-sale,Tablet,Completed,
CMP3006,Loyalty Rewards,email,France,2023-09-06T08:00:00-05:00,2023-09-11T08:00:00-05:00,26802,1177,4.39%,"601,38",378.86,-0.37,https://shop.example.com/promo,Desktop,Paused,
CMP3007,Flash Discount,email,UK,2023-09-07T08:00:00+00:00,2023-09-12T08:00:00+00:00,14168,809,5.71%,2418.6,#REF!,1.8,https://example.com/launch,Desktop,PAUSED,
CMP3008,Product Launch,paid search,Spain,2023-09-08,2023-09-13,31716,1558,4.91%,1194.63,2024.07,0.69,https://example.com/vip,Mobile,Completed,
CMP3009,Winter Preview,Social,USA,2023-09-09T08:00:00+01:00,2023-09-14T08:00:00+01:00,30077,1356,4.51%,987.96,2169.15,1.7,https://example.com/fall-sale,Desktop,Paused,ROI looks off?
CMP3010,Email Reactivation,Paid Search,France,2023-09-10T08:00:00+09:00,2023-09-15T08:00:00+09:00,47560,2859,6.01%,0.0,1503.25,#DIV/0!,https://shop.example.com/promo,Tablet,PAUSED,Spend not logged
CMP3011,App Install Drive,paid search,Australia,2023-09-11T08:00:00-05:00,2023-09-16T08:00:00-05:00,21382,1046,4.89%,1886.74,2136.49,0.13,www.example.com/no-protocol,Mobile,Completed,
CMP3012,Brand Awareness,email,Germany,2023-09-12T08:00:00+00:00,2023-09-17T08:00:00+00:00,39640,2976,7.51%,"775,01",845.09,0.09,https://example.com/vip,mobile,Completed,
CMP3013,Cart Abandon Recovery,paid search,Spain,2023-09-13T08:00:00-08:00,2023-09-18T08:00:00-08:00,10978,634,5.78%,2043.91,7450.95,2.65,https://example.com/fall-sale,desktop,PAUSED,
CMP3014,Referral Boost,paid search,France,2023-09-14T08:00:00+01:00,2023-09-19T08:00:00+01:00,1434,102,7.11%,"1,498",2718.41,0.81,https://shop.example.com/promo,desktop,PAUSED,
CMP3015,VIP Early Access,Paid Search,Canada,2023-09-15,2023-09-20,5043,205,4.07%,1252.02,#N/A,2.09,https://example.com/launch,Desktop,Completed,
CMP3016,Fall Sale Blitz,Paid Search,Australia,2023-09-01T08:00:00-05:00,2023-09-06T08:00:00-05:00,43650,1322,3.03%,1287.68,1412.85,0.1,https://example.com/vip,desktop,Paused,   
CMP3017,Back to School,Email,Italy,2023-09-02T08:00:00+00:00,2023-09-07T08:00:00+00:00,49379,3011,9.99%,195.74,193.5,-0.01,https://example.com/fall-sale,Desktop,Paused,CTR looks off?
CMP3018,Q3 Retargeting,social,Italy,2023-09-03T08:00:00-08:00,2023-09-08T08:00:00-08:00,24468,1606,6.56%,2650.29,6903.33,1.6,https://shop.example.com/promo,Tablet,active,
CMP3019,New Customer Push,Email,USA,2023-09-04T08:00:00+01:00,2023-09-09T08:00:00+01:00,20683,407,1.97%,"1.785,82",1763.65,-0.01,https://example.com/launch,mobile,Paused,
CMP3020,Holiday Teaser,email,Spain,2023-09-05T08:00:00+09:00,2023-09-10T08:00:00+09:00,47403,552,1.16%,1801.38,4960.11,1.75,https://example .com/space,Mobile,active,
CMP3021,Loyalty Rewards,Paid Search,Spain,2023-09-06T08:00:00-05:00,2023-09-11T08:00:00-05:00,49759,3836,7.71%,2721.54,2632.77,-0.03,https://example.com/fall-sale,,Paused,
CMP3022,Flash Discount,Paid Search,Canada,2023-09-07,2023-09-12,2159,118,5.47%,2369.13,1780.67,-0.25,https://shop.example.com/promo,desktop,Completed,
CMP3023,Product Launch,Display,Germany,2023-09-08T08:00:00-08:00,2023-09-13T08:00:00-08:00,35801,2718,7.59%,1219.03,#VALUE!,2.61,https://example.com/launch,desktop,Paused,
CMP3024,Winter Preview,Display,USA,2023-09-09T08:00:00+01:00,2023-09-14T08:00:00+01:00,25260,609,2.41%,2245.39,7072.3,2.15,https://example.com/vip,Desktop,active,
CMP3025,Email Reactivation,email,France,2023-09-10T08:00:00+00:00,2023-09-01T08:00:00+00:00,30900,2178,7.05%,1223.91,3040.56,1.48,https://example.com/fall-sale,Mobile,PAUSED,End before start?
CMP3026,App Install Drive,Email,Canada,2023-09-11T08:00:00-05:00,2023-09-16T08:00:00-05:00,21053,1309,6.22%,771.9,807.88,0.05,ftp://example.com/wrong-scheme,Tablet,PAUSED,
CMP3027,Brand Awareness,Display,Australia,2023-09-12T08:00:00+00:00,2023-09-17T08:00:00+00:00,32616,2491,7.64%,340.76,887.38,1.6,https://example.com/launch,Tablet,Completed,
CMP3028,Cart Abandon Recovery,Paid Search,Australia,2023-09-13T08:00:00-08:00,2023-09-18T08:00:00-08:00,19611,1156,5.89%,"1.601,07",3942.42,1.46,https://example.com/vip,desktop,Completed,
CMP3029,Referral Boost,Paid Search,UK,2023-09-14,2023-09-19,4780,154,3.22%,2979.99,2612.32,-0.12,https://example.com/fall-sale,mobile,PAUSED,
CMP3030,VIP Early Access,social,Spain,2023-09-15T08:00:00+09:00,2023-09-20T08:00:00+09:00,41223,3145,7.63%,2055.69,6104.94,1.97,https://shop.example.com/promo,mobile,Active,
CMP3031,Fall Sale Blitz,Social,Spain,2023-09-01T08:00:00-05:00,2023-09-06T08:00:00-05:00,15277,179,1.17%,2001.43,1295.21,-0.35,https://example.com/launch,mobile,active,
CMP3032,Back to School,Email,UK,2023-09-02T08:00:00+00:00,2023-09-07T08:00:00+00:00,15995,606,3.79%,"1,016",1318.15,0.3,https://example.com/vip,Desktop,active,
CMP3033,Q3 Retargeting,email,Italy,2023-09-03T08:00:00-08:00,2023-09-08T08:00:00-08:00,11827,525,4.44%,2165.66,7832.55,2.62,https://example.com/fall-sale,Tablet,PAUSED,
CMP3034,New Customer Push,social,,2023-09-04T08:00:00+01:00,2023-09-09T08:00:00+01:00,46311,3122,6.74%,823.47,1798.62,1.18,https://shop.example.com/promo,Mobile,PAUSED,
CMP3035,Holiday Teaser,Paid Search,Germany,2023-09-05T08:00:00+09:00,2023-09-10T08:00:00+09:00,25524,1728,6.77%,2892.93,11462.46,2.96,https://example.com/launch,Mobile,Paused,
CMP3036,Loyalty Rewards,paid search,UK,2023-09-06,2023-09-11,20929,1492,7.13%,2163.43,1768.48,-0.18,https://example.com/vip,Tablet,Completed,
CMP3037,Flash Discount,Paid Search,Germany,2023-09-07T08:00:00+00:00,2023-09-12T08:00:00+00:00,41130,3127,7.6%,2239.95,4744.71,1.12,https://example.com/fall-sale,mobile,Paused,
CMP3038,Product Launch,Social,UK,2023-09-08T08:00:00-08:00,2023-09-13T08:00:00-08:00,44977,1505,3.35%,1942.65,5605.92,1.89,https://shop.example.com/promo,Desktop,Completed,
