BusinessID,BusinessName,Category,City,Email,Website,YearsInBusiness,Rating,NumEmployees,SignupDate,Newsletter,Notes,NeedsReview
B001,Bright Leaf Salon,Salon,Denver,contact@brightleaf.com,https://www.brightleaf.com,13.0,4.4,6.0,2023-09-04,No,,
B002,Blue Oak Consulting,Consulting,Austin,contact@blueoak.com,https://www.blueoak.com,17.0,3.6,7.0,2023-07-14,Yes,,
B003,Sunset Retail,Retail,Austin,contact@sunset.com,https://www.sunset.com,18.0,4.0,38.0,2023-02-08,Yes,,
B004,Golden Fork Consulting,Restaurant,Raleigh,contact@goldenfork.com,https://www.goldenfork.com,13.0,3.3,16.0,2023-01-18,Yes,,
B005,Maple Salon,Salon,Nashville,contact@maple.com,https://www.maple.com,,4.2,38.0,2023-05-18,Yes,,
B006,Cedar Point Restaurant,Restaurant,Raleigh,mike smith@cedarpoint.com,https://www.cedarpoint.com,19.0,4.4,25.0,2023-02-18,Yes,,True
B007,Silver Line Consulting,Consulting,Austin,contact@silverline.com,https://www.silverline.com,20.0,,36.0,2023-07-25,No,,
B008,Riverbend Fitness,Fitness,Raleigh,contact@riverbend.com,https://www.riverbend.com,15.0,3.9,17.0,2023-03-23,Yes,,
B009,Iron Gate Restaurant,Restaurant,Raleigh,contact@irongate.com,https://www.irongate.com,10.0,4.1,23.0,2023-12-15,No,,
B010,Clover Consulting,Retail,Austin,contact@clover.com,https://www.clover.com,4.0,4.1,12.0,2023-06-05,No,,
B011,Northside Fitness,Fitness,Austin,contact@northside.com,https://www.northside.com,3.0,4.6,38.0,2023-06-11,No,,
B012,Harbor Consulting,Consulting,Nashville,contact@bizsite,https://www.harbor.com,19.0,4.6,6.0,2023-02-09,No,,
B013,Willow Restaurant,Restaurant,Austin,contact@willow.com,https://www.willow.com,10.0,4.4,,2023-05-23,No,,
B014,Copper Hill Salon,Salon,Austin,contact@copperhill.com,https://www.copperhill.com,15.0,3.8,9.0,2023-08-02,Yes,,
B015,Bramble Salon,Salon,Denver,contact@bramble.com,https://bramble.com,8.0,3.9,33.0,2023-02-06,No,,
B016,Fern & Co Fitness,Salon,Raleigh,contact@fernandco.com,https://www.fernandco.com,9.0,4.8,29.0,2023-09-09,No,,
B017,Amber Salon,Salon,Boise,contact@amber.com,https://www.amber.com,13.0,4.9,11.0,2023-02-06,Yes,,
B018,Pine Grove Retail,Retail,Boise,sara.k@,https://www.pinegrove.com,8.0,3.2,39.0,2023-03-09,No,,True
B019,Stonewell Restaurant,Restaurant,Denver,contact@stonewell.com,https://www.stonewell.com,5.0,4.2,38.0,2023-06-05,Yes,,
B020,Lantern Fitness,Fitness,Boise,contact@lantern.com,https://www.lantern.com,18.0,3.9,27.0,2023-07-04,Yes,,
B021,Foxglove Fitness,Fitness,Austin,contact@foxglove.com,,7.0,3.3,15.0,2023-08-06,Yes,,
B022,Granite Salon,Salon,Raleigh,contact@granite.com,https://www.granite.com,2.0,3.4,38.0,2023-03-18,Yes,,
B023,Meadow Salon,Fitness,Raleigh,contact@meadow.com,https://www.meadow.com,1.0,3.3,15.0,2023-10-13,Yes,,
B024,Cobblestone Salon,Salon,Portland,contact@cobblestone.com,https://www.cobblestone.com,20.0,3.9,9.0,2023-02-28,No,,
B025,Driftwood Fitness,Fitness,Nashville,contact@driftwood.com,https://www.driftwood.com,16.0,3.8,11.0,2023-02-24,No,,
B026,Larkspur Salon,Salon,Nashville,contact@larkspur.com,https://www.larkspur.com,6.0,4.1,15.0,2023-09-12,Yes,,
B027,Cascade Consulting,Consulting,Austin,contact@cascade.com,https://www.cascade.com,17.0,3.7,7.0,2023-12-28,No,,
B028,Thistle Consulting,Consulting,Portland,contact@thistle.com,https://www.thistle.com,6.0,3.8,16.0,2023-09-18,No,,
B029,Anchor Retail,Retail,Raleigh,contact@anchor.com,https://www.anchor.com,7.0,4.7,27.0,2023-12-26,Yes,,
B030,Birchwood Retail,Consulting,Raleigh,contact@birchwood.com,https://www.birchwood.com,16.0,3.8,3.0,2023-01-26,No,,
B031,Hollow Fitness,Fitness,Portland,contact@hollow.com,https://www.hollow.com,7.0,4.4,24.0,2023-08-26,No,,
B032,Ember Salon,Salon,Austin,,https://www.ember.com,8.0,3.4,32.0,2023-04-11,Yes,,True
B033,Crestline Fitness,Fitness,Raleigh,contact@crestline.com,https://www.crestline.com,20.0,4.7,32.0,2023-11-12,No,,
B034,Windmere Restaurant,Restaurant,Nashville,contact@windmere.com,https://www.windmere.com,7.0,4.1,13.0,2023-07-26,No,,
