CampaignID,CampaignName,Channel,Country,StartDate,EndDate,Impressions,Clicks,CTR,Spend,Revenue,ROI,LandingPageURL,Device,Status,Notes,NeedsReview,ROI_Fixed,CTR_Calc
CMP3001,Fall Sale Blitz,Email,France,2023-09-01 00:00:00+00:00,2023-09-06 00:00:00+00:00,11310,444,3.93,1283.19,1904.77,0.48,https://example.com/fall-sale,Mobile,Paused,,,0.48,3.93
CMP3002,Back to School,Social,Spain,2023-09-02 08:00:00+00:00,2023-09-07 08:00:00+00:00,12531,568,4.53,746.37,381.49,-0.49,https://shop.example.com/promo,Desktop,Paused,,,-0.49,4.53
CMP3003,Q3 Retargeting,Email,Spain,2023-09-03 16:00:00+00:00,2023-09-08 16:00:00+00:00,49738,1306,2.63,736.45,477.35,-0.35,htp://example.com/typo,Tablet,Active,,,-0.35,2.63
CMP3004,New Customer Push,Email,Australia,2023-09-04 07:00:00+00:00,2023-09-09 07:00:00+00:00,0,0,,1643.44,4813.15,1.93,https://example.com/vip,Desktop,Paused,No impressions recorded,,1.93,
CMP3005,Holiday Teaser,Social,Germany,2023-09-04 23:00:00+00:00,2023-09-09 23:00:00+00:00,49063,3298,6.72,418.39,1568.04,2.75,https://example.com/fall-sale,Tablet,Completed,,,2.75,6.72
CMP3006,Loyalty Rewards,Email,France,2023-09-06 13:00:00+00:00,2023-09-11 13:00:00+00:00,26802,1177,4.39,601.38,378.86,-0.37,https://shop.example.com/promo,Desktop,Paused,,,-0.37,4.39
CMP3007,Flash Discount,Email,UK,2023-09-07 08:00:00+00:00,2023-09-12 08:00:00+00:00,14168,809,5.71,2418.6,,1.8,https://example.com/launch,Desktop,Paused,,,,5.71
CMP3008,Product Launch,Paid Search,Spain,2023-09-08 00:00:00+00:00,2023-09-13 00:00:00+00:00,31716,1558,4.91,1194.63,2024.07,0.69,https://example.com/vip,Mobile,Completed,,,0.69,4.91
CMP3009,Winter Preview,Social,USA,2023-09-09 07:00:00+00:00,2023-09-14 07:00:00+00:00,30077,1356,4.51,987.96,2169.15,1.2,https://example.com/fall-sale,Desktop,Paused,,,1.2,4.51
CMP3010,Email Reactivation,Paid Search,France,2023-09-09 23:00:00+00:00,2023-09-14 23:00:00+00:00,47560,2859,6.01,0.0,1503.25,inf,https://shop.example.com/promo,Tablet,Paused,Spend not logged,,inf,6.01
CMP3011,App Install Drive,Paid Search,Australia,2023-09-11 13:00:00+00:00,2023-09-16 13:00:00+00:00,21382,1046,4.89,1886.74,2136.49,0.13,www.example.com/no-protocol,Mobile,Completed,,,0.13,4.89
CMP3012,Brand Awareness,Email,Germany,2023-09-12 08:00:00+00:00,2023-09-17 08:00:00+00:00,39640,2976,7.51,775.01,845.09,0.09,https://example.com/vip,Mobile,Completed,,,0.09,7.51
CMP3013,Cart Abandon Recovery,Paid Search,Spain,2023-09-13 16:00:00+00:00,2023-09-18 16:00:00+00:00,10978,634,5.78,2043.91,7450.95,2.65,https://example.com/fall-sale,Desktop,Paused,,,2.65,5.78
